listing_key,label,labeled_at,notes
craigslist_van:7932383707,whole_unit,2026-05-14T05:17:42.412642+00:00,Body: half duplex 4BR/4BA (entire side).
craigslist_van:7932151174,whole_unit,2026-05-14T05:17:42.412642+00:00,Body: 4BR/4BA detached family home (whole house).
craigslist_van:7929688454,whole_unit,2026-05-14T05:17:42.412642+00:00,Body: 4BR/3.5BA townhouse (entire unit).
craigslist_van:7929962128,whole_unit,2026-05-14T05:17:42.412642+00:00,Body: new duplex 4BR/4BA side near UBC (entire unit).
craigslist_van:7926009746,whole_unit,2026-05-14T05:17:42.412642+00:00,Body: large 4BR apartment unit; shared laundry in building only.
craigslist_van:7925067792,whole_unit,2026-05-14T05:17:42.412642+00:00,Body: large 4BR apartment unit; shared laundry in building only.
craigslist_van:7926506111,whole_unit,2026-05-14T05:17:42.412642+00:00,Body: whole house 4BR/2BA + kitchen/family/laundry.
craigslist_van:7933051506,whole_unit,2026-05-14T05:17:42.412642+00:00,Body: 2-level 3BR+2.5BA townhouse (~1743 sf) as one tenancy.
craigslist_van:7933004141,whole_unit,2026-05-14T05:17:42.412642+00:00,Body: self-contained 4BR garden suite with own kitchen/laundry.
craigslist_van:7926682125,whole_unit,2026-05-14T05:17:42.412642+00:00,Body: self-contained 3BR+den basement suite (entire suite).
craigslist_van:7932229301,whole_unit,2026-05-14T05:17:42.412642+00:00,Body: 4BR/1BA upper unit with private W/D; self-contained upper half.
craigslist_van:7927141037,whole_unit,2026-05-14T05:17:42.412642+00:00,"Body: ground-floor suite separate entry, kitchen, 4BR/2BA (self-contained suite)."
craigslist_van:7925235248,whole_unit,2026-05-14T05:17:42.412642+00:00,"Body: basement suite separate entry, kitchen, 4BR/2BA (self-contained suite)."
craigslist_van:7933390895,whole_unit,2026-05-14T05:17:42.412642+00:00,Body: large 4BR/2B 2-living second-floor suite (~3000 sf) as one tenancy.
craigslist_van:7934160673,whole_unit,2026-05-14T05:17:42.412642+00:00,"Body: upper-level suite with own kitchen/baths, private yard+garage (self-contained)."
craigslist_van:7925535333,whole_unit,2026-05-14T05:17:42.412642+00:00,"Body: 4BR ground-floor suite in house, separate unit, utilities included."
craigslist_van:7929875795,whole_unit,2026-05-14T05:17:42.412642+00:00,Body: 4BR family home with yard/office; whole-house framing.
craigslist_van:7934019604,room_or_partial,2026-05-14T05:17:42.412642+00:00,"Body: furnished lower 5BR; per-room setup, max 5 occupants, shared living."
craigslist_van:7931923778,room_or_partial,2026-05-14T05:17:42.412642+00:00,Body: coliving/mansion; share home with existing housemates; master suite context.
craigslist_van:7925726147,room_or_partial,2026-05-14T05:17:42.412642+00:00,Body: upper floor only; states ground floor occupied separately (rubric partial).
craigslist_van:7932896720,room_or_partial,2026-05-14T05:17:42.412642+00:00,Body: second-floor unit within a house (not entire structure).
craigslist_van:7932368554,room_or_partial,2026-05-14T05:17:42.412642+00:00,Body: rent upper two floors only (not whole building).
craigslist_van:7932442041,room_or_partial,2026-05-14T05:17:42.412642+00:00,Body: upper-level home only (82 W 45th); partial of house.
craigslist_van:7930801532,room_or_partial,2026-05-14T05:17:42.412642+00:00,Body: upper-level home only (82 W 45th); partial of house.
